id,host_id,neighbourhood_cleansed,price_cleaned,Term
934601542679047256,434168399,Vadhana,2000.00,Short Term
661239076029975579,98598351,Vadhana,4600.00,Short Term
945466750288078243,434168399,Vadhana,2500.00,Short Term
925299294575439811,434168399,Vadhana,1500.00,Short Term
927312070434381554,434168399,Vadhana,2000.00,Short Term
980846335633075086,306704320,Vadhana,842.00,Short Term
806276022391036458,434168399,Vadhana,4480.00,Short Term
930944993383668686,434168399,Vadhana,1125.00,Short Term
877207772071374200,511478779,Vadhana,1682.00,Short Term
857680947293827958,506822982,Vadhana,1283.00,Short Term
843315939940343006,434168399,Vadhana,4070.00,Short Term
637543695765000763,461514082,Vadhana,1500.00,Short Term
802571622833431222,13444367,Vadhana,2115.00,Short Term
846975787505605918,164234035,Vadhana,3211.00,Short Term
3907522,20207309,Vadhana,2000.00,Short Term
737434065886958091,483117990,Vadhana,5357.00,Short Term
934589224998638501,434168399,Vadhana,5625.00,Short Term
737437071023090886,483117990,Vadhana,4500.00,Short Term
661357420606222259,98598351,Vadhana,5300.00,Short Term
13436611,43244379,Vadhana,2000.00,Short Term
913567513529413493,39144119,Vadhana,80000.00,Short Term
7566787,39673488,Vadhana,2000.00,Short Term
8358775,44058615,Vadhana,1000.00,Short Term
15319963,31005660,Vadhana,20000.00,Short Term
717001924652991170,434168399,Vadhana,2850.00,Short Term
22232892,36324473,Vadhana,15000.00,Short Term
843297779506505448,434168399,Vadhana,7570.00,Short Term
899535138486250959,268046710,Vadhana,1920.00,Short Term
53837490,107548417,Vadhana,1507.00,Short Term
934687912177137831,434168399,Vadhana,1875.00,Short Term
945971306567527375,428315242,Vadhana,1700.00,Short Term
791513238910793225,211440551,Vadhana,850.00,Short Term
930950382350901924,434168399,Vadhana,1375.00,Short Term
37261975,175239962,Vadhana,3200.00,Short Term
661357146049226172,98598351,Vadhana,209765.00,Short Term
4681385,596717,Vadhana,1200.00,Short Term
30329222,226941360,Vadhana,110499.00,Short Term
899525896969252585,268046710,Vadhana,1980.00,Short Term
934576653402434611,434168399,Vadhana,2875.00,Short Term
741800628656842677,434168399,Vadhana,2850.00,Short Term
661230130166812043,98598351,Vadhana,4100.00,Short Term
937305231413643971,434168399,Vadhana,2000.00,Short Term
848815978638577962,434168399,Vadhana,5250.00,Short Term
954769618444957762,91426608,Vadhana,1899.00,Short Term
933181301022151643,434168399,Vadhana,1125.00,Short Term
945468425144432970,434168399,Vadhana,5625.00,Short Term
934692766605679801,434168399,Vadhana,2125.00,Short Term
928093716439194288,434168399,Vadhana,1750.00,Short Term
956299438238176293,91426608,Vadhana,1799.00,Short Term
741803765276971154,434168399,Vadhana,6250.00,Short Term
741779258259851846,434168399,Vadhana,2850.00,Short Term
925309088995661034,434168399,Vadhana,1500.00,Short Term
893948133345100887,44305808,Vadhana,1099.00,Short Term
893943691597260463,44305808,Vadhana,1699.00,Short Term
9517589,29493816,Vadhana,2299.00,Short Term
31724085,206813866,Vadhana,5800.00,Short Term
796177574093904604,456752357,Vadhana,2914.00,Short Term
19575560,137584553,Vadhana,600.00,Long Term
975606628974717856,536057911,Vadhana,1200.00,Short Term
45076132,34028501,Vadhana,1808.00,Long Term
39404367,302560592,Vadhana,920.00,Short Term
615710033434202149,455923954,Vadhana,2331.00,Short Term
656472282890121296,455923954,Vadhana,1200.00,Short Term
32507161,244258430,Vadhana,2800.00,Short Term
934696649754045104,434168399,Vadhana,4625.00,Short Term
958783826493779805,456752357,Vadhana,7586.00,Short Term
951076085810712046,434168399,Vadhana,2250.00,Short Term
661298855689450991,98598351,Vadhana,3643.00,Short Term
959869098700293746,91426608,Vadhana,2205.00,Short Term
972839516664641684,195016153,Vadhana,50000.00,Short Term
806292731621119713,434168399,Vadhana,8480.00,Short Term
661330566827349777,98598351,Vadhana,5729.00,Short Term
38529380,293623768,Vadhana,3390.00,Short Term
950489973570877928,13541611,Vadhana,8000.00,Short Term
849022040648638146,276781306,Vadhana,620.00,Short Term
735147061860263986,483117990,Vadhana,3014.00,Short Term
30329202,226941360,Vadhana,109999.00,Short Term
937321222111862545,434168399,Vadhana,5000.00,Short Term
661330994674781348,98598351,Vadhana,5729.00,Short Term
17338953,114261931,Vadhana,2700.00,Short Term
5081704,26246252,Vadhana,6000.00,Short Term
937313163440222714,434168399,Vadhana,2500.00,Short Term
963804509091946755,60357951,Vadhana,1359.00,Short Term
32389722,37840126,Vadhana,5000.00,Short Term
9999946,51367212,Vadhana,1808.00,Short Term
42703539,258285118,Vadhana,750.00,Long Term
812273279751751669,175470061,Vadhana,1450.00,Long Term
890317565299979915,42594121,Vadhana,7959.00,Short Term
930967517320617500,434168399,Vadhana,750.00,Short Term
722098064468104330,434168399,Vadhana,2000.00,Short Term
