id,listing_url,name,picture_url,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_picture_url,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathroom,bathroom_type,bedrooms,beds,price_cleaned,minimum_nights,review_scores_rating,Term
796371323424635182,https://www.airbnb.com/rooms/796371323424635182,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/faebbe86-1770-40f6-ac7b-47e5a1c7657a.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,2,1.000000,bath,1,1,1072.00,2,3.3,Short Term
872909867114285748,https://www.airbnb.com/rooms/872909867114285748,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-872909867114285748/original/523d00ab-b68d-440a-aa0d-49f08c27674a.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,2,1.000000,bath,1,1,1054.00,5,0,Short Term
838398921475001109,https://www.airbnb.com/rooms/838398921475001109,Home in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/miso/Hosting-838398921475001109/original/720e813c-f0ef-4a74-9896-37cb308b34e5.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Pom Prap Sattru Phai,Private room,2,1.000000,shared bath,0,1,1421.00,1,4,Short Term
34250983,https://www.airbnb.com/rooms/34250983,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/ab9979f9-bff5-4598-8534-a51697fe7ef5.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong Toei,Entire home/apt,4,1.000000,bath,1,1,1100.00,2,3.83,Short Term
799866050264687907,https://www.airbnb.com/rooms/799866050264687907,Rental unit in Khet Khlong San,https://a0.muscache.com/pictures/miso/Hosting-798534897244281351/original/a0bfb617-90a5-4b7c-a5e5-908fe0e2f199.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong San,Entire home/apt,2,1.000000,bath,1,1,1099.00,30,5,Long Term
46044686,https://www.airbnb.com/rooms/46044686,Rental unit in Khlong Toei,https://a0.muscache.com/pictures/98d8ffd9-9fea-4278-ba3f-f6703660ce33.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Chom Thong,Entire home/apt,4,1.000000,bath,1,1,1100.00,2,4.79,Short Term
838383508062070129,https://www.airbnb.com/rooms/838383508062070129,Home in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/miso/Hosting-838383508062070129/original/bcf2a7f3-551e-4ac8-911b-9892ff70914b.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Bang Rak,Private room,2,1.000000,shared bath,0,1,1450.00,1,0,Short Term
792280133567624143,https://www.airbnb.com/rooms/792280133567624143,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/980ce0de-2085-45fc-b99a-adb511415168.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Chom Thong,Entire home/apt,2,1.000000,bath,1,1,1075.00,2,3.33,Short Term
46042820,https://www.airbnb.com/rooms/46042820,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/98d8ffd9-9fea-4278-ba3f-f6703660ce33.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Chom Thong,Entire home/apt,4,1.000000,bath,1,1,1107.00,2,4.6,Short Term
792283310716486752,https://www.airbnb.com/rooms/792283310716486752,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/980ce0de-2085-45fc-b99a-adb511415168.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Chom Thong,Entire home/apt,2,1.000000,bath,1,1,1054.00,2,3.67,Short Term
799188922046772125,https://www.airbnb.com/rooms/799188922046772125,Rental unit in Khet Khlong San,https://a0.muscache.com/pictures/miso/Hosting-798534897244281351/original/3df91ea5-3e81-4234-b1df-5b7d51d27d02.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong San,Entire home/apt,2,1.000000,bath,1,1,1156.00,30,5,Long Term
