id,name,picture_url,host_id,neighbourhood_cleansed,room_type,bathroom,bathroom_type,bedrooms,beds,price_cleaned
914055574601508512,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-914055574601508512/original/0a2bc4c0-b901-4f9b-8ce5-357a873f38b1.jpeg,201677068,Vadhana,Entire home/apt,1.000000,bath,1,1,998.00
951204236831328111,Hotel in Khet Phra Nakhon,https://a0.muscache.com/pictures/miso/Hosting-951204236831328111/original/97619d36-c1c7-4a12-92de-8c7d5db19b30.png,493412920,Phra Nakhon,Private room,1.000000,bath,1,1,2070.00
917012966075924492,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-917012966075924492/original/b702a060-565b-459d-a72d-82b2630fcfc4.jpeg,67859488,Khlong Toei,Private room,1.000000,bath,1,1,960.00
20777999,Bed and breakfast in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/a4e48fc3-b4dc-45b3-8bb6-e579313befca.jpg,124786095,Ratchathewi,Private room,1.000000,private bath,0,1,2800.00
663718428315361832,Hostel in Khet Phra Nakhon,https://a0.muscache.com/pictures/3ed96e88-887a-423c-8281-ab5274e1b54b.jpg,187088347,Phra Nakhon,Private room,3.000000,shared baths,1,3,1150.00
40552555,Condo in Bang Kapi District,https://a0.muscache.com/pictures/7a5d3152-37fd-43f9-94a3-8cb4ab629382.jpg,60348304,Suanluang,Entire home/apt,0.000000,baths,1,0,950.00
777909601678163472,Hotel in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-777909601678163472/original/da77ac44-c050-4b8c-96ea-0647f1358c84.jpeg,186270866,Vadhana,Private room,1.000000,private bath,1,1,1900.00
783364753854389967,Hotel in Khet Ratchathewi,https://a0.muscache.com/pictures/miso/Hosting-783364753854389967/original/33782d72-0e72-41cc-94bd-d4b1836dd63d.jpeg,186270866,Ratchathewi,Private room,1.000000,private bath,1,1,949.00
984500166719387381,Rental unit in Khet Sathon,https://a0.muscache.com/pictures/miso/Hosting-703278544628699643/original/e6ea535b-639f-4a19-b793-772a6a7cf623.jpeg,264864968,Sathon,Entire home/apt,1.000000,bath,1,2,984.00
876474888957698044,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-876469187577309637/original/ecf0a827-3d18-4a5a-b116-33c74d076545.jpeg,253787977,Khlong Toei,Entire home/apt,1.000000,bath,1,2,1394.00
7658017,Rental unit in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-7658017/original/ce1ac443-5fb1-4d21-96f5-54502c1199cd.jpeg,34426085,Khlong Toei,Entire home/apt,1.000000,bath,1,1,1440.00
24635563,Rental unit in Khet Khlong San,https://a0.muscache.com/pictures/31ef2454-5fe2-4f7c-b7a0-7977d1f36212.jpg,27447476,Khlong San,Private room,1.000000,private bath,0,1,1143.00
47828041,Condo in Khet Don Mueang,https://a0.muscache.com/pictures/c0951aa7-93f4-40c1-9fd4-8de2e16eb801.jpg,8795354,Don Mueang,Entire home/apt,1.000000,bath,0,1,750.00
51515924,Condo in Khet Saphan Sung,https://a0.muscache.com/pictures/miso/Hosting-51515924/original/0a86bee7-dfd1-4f7a-a9f4-feac80dd0c0f.jpeg,58807166,Saphan Sung,Entire home/apt,1.000000,bath,2,2,835.00
43840595,Condo in Khet Khlong San,https://a0.muscache.com/pictures/1f174013-ce0a-4708-9c8d-c61c412ce31a.jpg,14662224,Khlong San,Entire home/apt,1.500000,baths,1,0,850.00
30704340,Condo in Khet Huai Khwang,https://a0.muscache.com/pictures/67e39b1c-f272-48e2-9ddf-98b507286ea8.jpg,229824743,Huai Khwang,Entire home/apt,1.000000,bath,1,1,3000.00
893347944833130332,Rental unit in Khet Bang Kapi,https://a0.muscache.com/pictures/miso/Hosting-893347944833130332/original/1d549838-d183-47c3-9fb4-5bdd9aefd5bb.jpeg,11431199,Bang Kapi,Entire home/apt,,,1,1,780.00
978213003758592285,Hotel in Khet Samphanthawong,https://a0.muscache.com/pictures/miso/Hosting-978213003758592285/original/5e1adda0-477d-4dba-ae7c-505256a618f5.jpeg,493412920,Samphanthawong,Private room,1.000000,bath,1,1,1250.00
959029281166864392,Hotel in Khet Samphanthawong,https://a0.muscache.com/pictures/miso/Hosting-959029281166864392/original/4bd8091c-9583-4cde-a944-2f678cc6304c.png,493412920,Samphanthawong,Private room,1.000000,bath,1,1,2700.00
943018371677719482,Rental unit in Khet Din Daeng,https://a0.muscache.com/pictures/miso/Hosting-943018371677719482/original/4c22f1bc-119c-4d47-a365-7036c0b4eb1e.jpeg,525206187,Din Daeng,Private room,1.000000,bath,0,1,440.00
38159457,Condo in Nong Kae,https://a0.muscache.com/pictures/836cef80-279f-47ad-a436-6d175963306a.jpg,32466688,Nong Khaem,Entire home/apt,2.000000,baths,2,2,1786.00
807851314652882431,Home in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-807843512992858881/original/c1b4498c-1773-4ca5-974a-5bec1c20f6a2.jpeg,264864968,Huai Khwang,Entire home/apt,2.000000,baths,3,4,2118.00
971477328138614254,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-971477328138614254/original/0ba6fe2e-4250-4482-9100-0bc7a051e11d.jpeg,535074376,Khlong Toei,Entire home/apt,1.000000,bath,1,1,1200.00
747422309139371926,Hotel in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-747422309139371926/original/5cd5b8a9-950d-4285-b4f5-c1668d57cab6.jpeg,182897474,Vadhana,Private room,1.000000,private bath,1,1,3500.00
928673399766416896,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-928673399766416896/original/2e831a2b-3044-461e-9a62-bc0885de997c.jpeg,314945555,Vadhana,Entire home/apt,1.000000,bath,1,2,1053.00
969877701142068896,Rental unit in Khet Lak Si,https://a0.muscache.com/pictures/miso/Hosting-969877701142068896/original/a6066f4e-cb6a-4e3e-ab7a-e9c12b23800c.jpeg,26662185,Lak Si,Entire home/apt,2.000000,baths,2,4,1886.00
41205194,Condo in Khet Ratchathewi,https://a0.muscache.com/pictures/a9ea9292-56d4-4085-9164-c49d0fdd6b85.jpg,50347884,Ratchathewi,Entire home/apt,1.000000,bath,1,1,10000.00
18112330,Rental unit in Bangkok,https://a0.muscache.com/pictures/a1311c25-9c72-4b3d-a40f-b55c487685dd.jpg,30970765,Wang Thong Lang,Entire home/apt,2.000000,baths,1,1,700.00
902686486890587674,Hotel in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-902686486890587674/original/b0e6b206-4235-4a3e-bee5-a0629ded8d60.jpeg,435441726,Khlong Toei,Private room,1.000000,bath,1,1,1280.00
974596140835646036,Rental unit in Khet Pathum Wan,https://a0.muscache.com/pictures/42095374-68e4-4e5b-a65b-f3608bff9791.jpg,463798933,Parthum Wan,Entire home/apt,1.000000,bath,2,3,3751.00
862690455167568288,Rental unit in Khet Wang Thonglang,https://a0.muscache.com/pictures/miso/Hosting-862690455167568288/original/786bf3c3-58aa-4096-afb1-bdf616a47979.jpeg,337003675,Wang Thong Lang,Private room,1.000000,private bath,1,1,737.00
734432587620248046,Condo in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-734432587620248046/original/20581167-6e12-4586-8259-0bbdbf5cbadf.jpeg,184253580,Vadhana,Private room,1.000000,private bath,0,1,1500.00
912755372394066875,Hotel in Khet Chatuchak,https://a0.muscache.com/pictures/miso/Hosting-912755372394066875/original/4b1f3192-331a-451a-9023-221f96ed6cdc.jpeg,519737548,Chatu Chak,Private room,2.000000,shared baths,2,2,5440.00
852366344766195161,Boutique hotel in Khet Phra Nakhon,https://a0.muscache.com/pictures/ecbcf67a-1b48-45d2-b891-d7ae38c7174c.jpg,17057569,Phra Nakhon,Private room,,half-bath,1,1,2039.00
838383508062070129,Home in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/miso/Hosting-838383508062070129/original/bcf2a7f3-551e-4ac8-911b-9892ff70914b.jpeg,67585919,Bang Rak,Private room,1.000000,shared bath,0,1,1450.00
597354831183592881,Condo in Khet Chatuchak,https://a0.muscache.com/pictures/miso/Hosting-597354831183592881/original/3828faa7-33cf-45fc-979f-291f7a48d83e.jpeg,35456775,Chatu Chak,Private room,1.000000,private bath,0,1,928.00
921948949760638782,Rental unit in Khet Saphan Sung,https://a0.muscache.com/pictures/miso/Hosting-921948949760638782/original/80d94f81-1a3a-4320-a934-b578b08b9812.jpeg,11431199,Saphan Sung,Entire home/apt,1.000000,bath,1,1,630.00
941749777714610267,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-941749777714610267/original/1a6e41e4-cc3b-4d39-8f32-dc05fa691e93.jpeg,479841137,Huai Khwang,Entire home/apt,2.000000,baths,2,2,2080.00
16786019,Rental unit in Bangkok,https://a0.muscache.com/pictures/26fd9e09-6c66-4839-a4a7-269c1120bd7a.jpg,110912078,Chatu Chak,Private room,1.000000,bath,0,1,1350.00
750335859310562176,Condo in Khet Bang Kapi,https://a0.muscache.com/pictures/miso/Hosting-750335859310562176/original/4476fb75-7a86-46cf-a8ca-d0445f5a8a50.jpeg,485867500,Bang Kapi,Private room,2.000000,baths,0,2,1100.00
34267494,Hostel in Khet Ratchathewi,https://a0.muscache.com/pictures/47e3830f-4bdc-4168-8a0d-6e16b430cfed.jpg,258705744,Ratchathewi,Hotel room,1.000000,bath,1,2,2000.00
34357921,Rental unit in Khet Bang Khae,https://a0.muscache.com/pictures/21190ee6-99c8-4598-9e99-6c155515ee89.jpg,256921750,Bang Khae,Private room,1.000000,private bath,0,1,800.00
934832751245041798,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-928194457350081909/original/8e268ef5-cb7c-4e1c-a76a-714f0bd35dba.jpeg,520170030,Huai Khwang,Entire home/apt,1.500000,baths,1,1,2100.00
3543320,Rental unit in กรุงเทพมหานคร,https://a0.muscache.com/pictures/44687280/cc551a50_original.jpg,12335081,Bang Phlat,Private room,1.000000,bath,1,1,800.00
32825288,Home in Khet Min Buri,https://a0.muscache.com/pictures/3388c32e-a91f-4dc1-b262-44edd3f641db.jpg,246945750,Khlong Sam Wa,Entire home/apt,1.000000,bath,1,1,2800.00
48033246,Condo in Khet Phra Khanong,https://a0.muscache.com/pictures/19561c9c-f929-4c2b-be74-931cbc8eff8e.jpg,138870859,Phra Khanong,Entire home/apt,1.000000,bath,1,1,800.00
11950515,Condo in Bangkok,https://a0.muscache.com/pictures/2fc81205-99ea-44fa-9e47-89e699d61763.jpg,51871589,Phasi Charoen,Private room,1.000000,bath,0,1,1500.00
28644974,Townhouse in Bangkok,https://a0.muscache.com/pictures/c39b97e6-a9f1-4678-b22b-36fca60995c3.jpg,203911167,Ratchathewi,Shared room,,,0,1,500.00
788244134489285222,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-788244134489285222/original/ebef09a1-7d98-4155-961f-378658f54af5.jpeg,479841137,Huai Khwang,Entire home/apt,1.000000,bath,1,1,1579.00
658936862802780983,Aparthotel in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/miso/Hosting-658936862802780983/original/50f59cc7-f74d-4662-bde6-850c9961d0f2.jpeg,223084053,Pra Wet,Private room,1.000000,private bath,1,1,805.00
42163995,Rental unit in 曼谷,https://a0.muscache.com/pictures/b799705e-49a6-4b5c-9ab3-b731993d0ad2.jpg,327365883,Ratchathewi,Entire home/apt,1.000000,bath,2,2,9988.00
20971642,Condo in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/961dac0d-c1f5-4e12-a900-c10755f651aa.jpg,5260755,Khlong Toei,Entire home/apt,1.000000,bath,1,1,5389.00
15707845,Home in Bangkok,https://a0.muscache.com/pictures/4bc7128e-c64d-4e9f-84ed-6ee4fecb2b2b.jpg,101440673,Khlong Sam Wa,Entire home/apt,2.000000,baths,2,2,1095.00
880889432201778165,Rental unit in Khet Prawet,https://a0.muscache.com/pictures/miso/Hosting-880889432201778165/original/45041f01-1e54-4d15-8e11-f2542329eccc.jpeg,51784336,Lat Krabang,Entire home/apt,1.000000,bath,1,1,566.00
935222713676874995,Bed and breakfast in Khet Phra Nakhon,https://a0.muscache.com/pictures/miso/Hosting-935222713676874995/original/30b14a22-cc94-40d7-a7c1-45bb92265eaa.jpeg,195335992,Phra Nakhon,Private room,,,1,1,2200.00
52677954,Home in Khet Prawet,https://a0.muscache.com/pictures/5e59bcc0-0783-4b2d-bece-b2f75c0b69ee.jpg,290863292,Pra Wet,Entire home/apt,4.000000,baths,4,2,2500.00
862913155022644309,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-862913155022644309/original/9344d614-7d20-4afc-9678-f298713ac10d.jpeg,485413319,Huai Khwang,Entire home/apt,1.000000,bath,2,3,1960.00
794266731373815947,Hotel in Khet Khlong Toei,https://a0.muscache.com/pictures/miso/Hosting-794266731373815947/original/6f9ed4a5-8954-4592-a5fa-3c887ab6db12.jpeg,186270866,Khlong Toei,Private room,1.000000,private bath,1,1,2350.00
964323808707525219,Rental unit in Khet Phra Khanong,https://a0.muscache.com/pictures/miso/Hosting-964323808707525219/original/9dabd3af-58d1-4a60-b068-7aea432bb71b.jpeg,502914284,Phra Khanong,Entire home/apt,1.000000,bath,1,1,1652.00
5840149,Rental unit in Bangkok,https://a0.muscache.com/pictures/72741350/7c322f3b_original.jpg,30322987,Huai Khwang,Private room,1.000000,bath,1,1,550.00
11667190,Condo in Bangkapi,https://a0.muscache.com/pictures/78d075ef-e562-4592-89f7-929372908419.jpg,61090187,Huai Khwang,Private room,1.000000,bath,0,1,1200.00
810761108676716425,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-810761108676716425/original/91c1e9a3-66c9-44fb-a09a-0b7283caa6bf.jpeg,67585919,Vadhana,Entire home/apt,1.000000,bath,1,1,746.00
880099476421565391,Rental unit in เขตวัฒนา,https://a0.muscache.com/pictures/miso/Hosting-880099476421565391/original/17d5b65f-0638-4c9f-84a1-ed4def5e8ce9.jpeg,501920630,Vadhana,Entire home/apt,1.000000,bath,1,1,1671.00
28358648,Home in Khet Don Mueang,https://a0.muscache.com/pictures/e16e8fc2-2bf4-4fb5-a15d-3b899dd03141.jpg,214262031,Don Mueang,Private room,3.000000,baths,0,2,5357.00
28373783,Home in Khet Bang Rak,https://a0.muscache.com/pictures/4737282c-4566-4eee-b279-b8948481d317.jpg,214218396,Bang Rak,Private room,1.000000,private bath,0,1,2749.00
696726593025121639,Hotel in Khet Suan Luang,https://a0.muscache.com/pictures/miso/Hosting-696726593025121639/original/2783f17a-e839-4893-b233-effc6a989a9b.jpeg,475721302,Suanluang,Private room,2.000000,baths,1,1,6000.00
976527840334718965,Hotel in Khet Phra Nakhon,https://a0.muscache.com/pictures/miso/Hosting-976527840334718965/original/b0f56e41-107b-44c6-861e-565874a43706.jpeg,493412920,Phra Nakhon,Private room,1.000000,bath,1,1,2240.00
949986129052695870,Rental unit in Khet Yan Nawa,https://a0.muscache.com/pictures/hosting/Hosting-949986129052695870/original/3c49a383-4844-44fe-b2d1-e7efbdf9d8e5.jpeg,141249507,Yan na wa,Entire home/apt,2.000000,baths,2,2,2000.00
52503428,Condo in Khet Bang Sue,https://a0.muscache.com/pictures/miso/Hosting-52503428/original/7dd8f1c5-7f22-42bc-847d-7fd4cd375410.jpeg,295157799,Bang Sue,Private room,1.500000,baths,0,1,100000.00
7485386,Rental unit in Bangkok,https://a0.muscache.com/pictures/103377636/86f74468_original.jpg,10859460,Bang Na,Entire home/apt,1.000000,bath,1,1,1514.00
