id,host_id,neighbourhood_cleansed,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,Group_rating_score,Group_scores_accuracy,Group_scores_cleanliness,Group_scores_communication,Group_score_location
33276104,150831380,Phra Nakhon,Private room,2,5,4,4.5,5,5,5,Excellence,Good,Excellence,Excellence,Excellence
955575598514061769,504092494,Ratchathewi,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
41921476,295320280,Bang Na,Private room,14,5,5,4.93,5,5,4.86,Excellence,Excellence,Excellence,Excellence,Excellence
18629461,112529741,Phaya Thai,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
889909,4721867,Bang Na,Private room,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
18297067,126547200,Bangkok Noi,Private room,2,5,5,5,5,5,4,Excellence,Excellence,Excellence,Excellence,Good
40722572,246483280,Parthum Wan,Entire home/apt,10,5,5,5,5,5,4.9,Excellence,Excellence,Excellence,Excellence,Excellence
938184236749819349,510890751,Khlong Toei,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
17251391,116259385,Khlong Toei,Entire home/apt,6,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
938811250788778062,510890751,Khlong Toei,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
706128845238108245,36046851,Parthum Wan,Private room,17,5,5,5,4.82,4.94,4.88,Excellence,Excellence,Excellence,Excellence,Excellence
938135360620572358,510890751,Khlong Toei,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
37286883,272358230,Bang Sue,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
54130984,240343545,Vadhana,Entire home/apt,2,5,5,5,4.5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
809750191054993602,478213381,Ratchathewi,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
722066863141316826,434168399,Vadhana,Entire home/apt,2,5,4,5,5,5,3.5,Excellence,Good,Excellence,Excellence,Fair Good
969470489095399798,27721148,Khlong Toei,Entire home/apt,3,5,5,4.33,5,5,4.67,Excellence,Excellence,Good,Excellence,Excellence
897700174770041579,515934791,Huai Khwang,Entire home/apt,6,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
